gridNo,featNo,weight,grid_x,grid_y,grid_z
6100,1,-407.0428,3,21,37
11269,3,-407.02234,6,23,36
11269,5,-407.0637,6,23,36
12583,1,207.84128,7,15,34
12622,3,242.64363,7,16,26
12622,5,242.704,7,16,26
14454,0,242.68208,8,19,25
14454,1,242.75124,8,19,25
14507,3,159.47314,8,20,31
14507,5,159.41727,8,20,31
14647,0,-451.99536,8,23,30
14647,1,-451.96454,8,23,30
15955,1,-320.94916,9,15,22
16154,1,-196.03732,9,19,33
16198,4,159.39877,9,20,30
16202,0,-252.3046,9,20,34
16290,0,159.40723,9,22,28
16290,1,159.39404,9,22,28
17699,1,476.75845,10,16,27
17705,3,207.833,10,16,33
17705,5,207.83931,10,16,33
17744,4,58.523605,10,17,25
17747,0,-475.47647,10,17,28
17747,1,-475.32803,10,17,28
17752,4,207.95087,10,17,33
17797,0,-196.10352,10,18,31
17797,1,-196.01242,10,18,31
17892,4,480.26385,10,20,32
17940,4,-451.99255,10,21,33
17941,3,-10.603556,10,21,34
17943,1,-10.665411,10,21,36
17944,1,-71.53935,10,21,37
18032,0,408.47946,10,23,31
18032,2,408.52213,10,23,31
18037,3,-381.60867,10,23,36
18037,4,399.345,10,23,36
18037,5,-381.62967,10,23,36
19249,0,194.59312,11,13,26
19249,2,194.53593,11,13,26
19254,4,-150.99837,11,13,31
19349,3,-373.74994,11,15,32
19349,5,-373.8278,11,15,32
19387,1,-481.86505,11,16,23
19390,3,35.685593,11,16,26
19394,4,-107.00674,11,16,30
19395,1,158.94408,11,16,31
19396,4,207.7878,11,16,32
19439,1,447.2925,11,17,28
19442,1,108.707886,11,17,31
19488,0,476.7991,11,18,30
19490,1,428.48105,11,18,32
19490,4,185.85164,11,18,32
19494,1,261.91132,11,18,36
19530,1,529.98755,11,19,25
19535,4,82.1825,11,19,30
19536,3,82.1795,11,19,31
19536,5,82.26049,11,19,31
19538,1,-252.39299,11,19,33
19581,1,-139.18626,11,20,29
19584,0,408.4192,11,20,32
19584,4,-196.03723,11,20,32
19585,1,474.97534,11,20,33
19586,0,426.0936,11,20,34
19586,1,-313.7972,11,20,34
19586,4,371.08838,11,20,34
19587,1,-123.970955,11,20,35
19587,4,-365.03592,11,20,35
19626,3,155.42435,11,21,27
19626,5,155.38287,11,21,27
19629,0,356.41873,11,21,30
19629,1,356.5607,11,21,30
19629,4,-452.0639,11,21,30
19631,4,200.48662,11,21,32
19674,0,-323.78235,11,22,28
19674,2,-323.91156,11,22,28
19676,3,38.085876,11,22,30
19676,5,38.138294,11,22,30
19682,4,-470.85574,11,22,36
19683,4,-470.88406,11,22,37
19729,0,-324.04315,11,23,36
19729,1,-324.1219,11,23,36
19729,3,399.3038,11,23,36
19729,5,399.33713,11,23,36
19770,1,-96.80335,11,24,30
19868,4,-96.757675,11,26,34
20895,1,-480.6723,12,12,27
20941,0,283.83713,12,13,26
20941,1,283.84192,12,13,26
20948,1,-535.39685,12,13,33
20992,3,410.2586,12,14,30
20992,5,410.18835,12,14,30
20997,4,385.21454,12,14,35
21082,0,401.95605,12,16,26
21082,1,295.6717,12,16,26
21082,2,401.83017,12,16,26
21082,3,474.02454,12,16,26
21082,4,467.77734,12,16,26
21082,5,474.03815,12,16,26
21083,0,213.25197,12,16,27
21083,1,-179.30006,12,16,27
21083,3,-384.04703,12,16,27
21083,5,-383.94193,12,16,27
21085,4,458.27698,12,16,29
21087,4,-373.7297,12,16,31
21088,1,-7.676362,12,16,32
21088,4,-30.821613,12,16,32
21089,1,-143.5456,12,16,33
21091,1,207.89635,12,16,35
